ID,Tipo,SKU padre,sku ,Nombre,Publicado (0/1),¿Está destacado? (0/1),Visibilidad en el catálogo,Descripción corta (Instrucciones de cuidado),Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario (cantidad),Inventario (cantidad),Inventario (cantidad),Peso (kg),Medidas (cm), (cm), (cm),Precio rebajado,Precio normal,Categorías (Colecciones),Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/14B2NVN6TtdWEzAId9Mxd6McPUAhUqZ-o,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Nombre del atributo 2,Valor(es) del atributo color,Atributo visible talla,Atributo global talla,Atributo por defecto talla
641272,variable,,,VESTIDO CRUZADO - L,1,1,visible,,,taxable,parent,1,2,-,-,0.40,Talla L:  Busto 100 / Cintura 92,,,-,490000,Tékapo,,,vestido cruzado estampado.tif                                                              vestido cruzado estampado2.tif,,Talla,L,Color,Estampado,,1,L Estampado
641272,variable,,,VESTIDO CRUZADO - XL,1,1,visible,,,taxable,parent,1,2,-,-,0.40,Talla XL:  Busto 106 / Cintura 98,,,-,490000,Tékapo,,,vestido cruzado estampado.tif                                                              vestido cruzado estampado2.tif,,Talla,XL,Color,Estampado,,1,XL Estampado
610277,variable,,,BODY MANGA LARGA BORDADO,1,1,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.","Body-Blusa de corte recto, cuello de solapa con muesca y botones de perlas en la parte delantera. Mangas largas de globo con bordado a juego. Puños con doble detalle de volantes.",taxable,parent,1,(color marfìl),,,0.35,,,,-,398000,Tékapo,,Envío Growbeats,body manga larga bordado marfìl.tif                                                      body manga larga bordado marfìl2.tif                                                                             body manga larga bordado marfìl3.tif                                                                                                                  body manga larga bordado marfìl4.tif,,Talla,"S, M, L",Color,Marfíl,1,1,
610277,variable,,,BODY MANGA LARGA BORDADO - S,1,1,visible,,,taxable,parent,1,1,-,-,0.35,Talla S:  Busto 92 / Cintura 84,,,-,398000,Tékapo,,,body manga larga bordado marfìl.tif                                                      body manga larga bordado marfìl2.tif                                                                             body manga larga bordado marfìl3.tif                                                                                                                  body manga larga bordado marfìl4.tiff,,Talla,S,Color,Marfíl,,1,S Marfíl
610277,variable,,,BODY MANGA LARGA BORDADO - M,1,1,visible,,,taxable,parent,1,2,-,-,0.35,Talla M:  Busto 96 / Cintura 88,,,-,398000,Tékapo,,,body manga larga bordado marfìl.tif                                                      body manga larga bordado marfìl2.tif                                                                             body manga larga bordado marfìl3.tif                                                                                                                  body manga larga bordado marfìl4.tif,,Talla,M,Color,Marfíl,,1,M Marfíl
610277,variable,,,BODY MANGA LARGA BORDADO - L,1,1,visible,,,taxable,parent,1,1,-,-,0.35,Talla L:  Busto 100 / Cintura 92,,,-,398000,Tékapo,,,body manga larga bordado marfìl.tif                                                      body manga larga bordado marfìl2.tif                                                                             body manga larga bordado marfìl3.tif                                                                                                                  body manga larga bordado marfìl4.tif,,Talla,L,Color,Marfíl,,1,L Marfíl
611852,variable,,,BLUSA ANUDADA EN SEDA,1,1,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.","Blusa con corte recto, cuello en V, manga larga con puños abotonados y bajo asimétrico para anudar. Cierre mediante botonadura frontal. Incluye top interno.",taxable,parent,1,(rosa oscuro),(azul grisáceo),(gris),0.30,,,,-,465000,Tékapo,,Envío Growbeats,blusa anudada en seda.tif                                                                                                    blusa anudada en seda2.jpeg                                          blusa anudada en seda3.jpeg,,Talla,"S, M, L, XL",Color,Rosa Oscuro - Azul Grisáceo - Gris,1,1,
611852,variable,,,BLUSA ANUDADA EN SEDA - S,1,1,visible,,,taxable,parent,1,0,2,1,0.30,Talla S: Busto 90 / Cintura 80  ,,,-,465000,Tékapo,,,blusa anudada en seda.tif                                                                                                    blusa anudada en seda2.jpeg                                          blusa anudada en seda3.jpeg,,Talla,S,Color,Rosa Oscuro - Azul Grisáceo - Gris,,1,S Rosa Oscuro                             S Azul Grisáceo                          S Gris
611852,variable,,,BLUSA ANUDADA EN SEDA - M,1,1,visible,,,taxable,parent,1,1,3,0,0.30,Talla M: Busto 94 / Cintura 84 ,,,-,465000,Tékapo,,,blusa anudada en seda.tif                                                                                                    blusa anudada en seda2.jpeg                                          blusa anudada en seda3.jpeg,,Talla,M,Color,Rosa Oscuro - Azul Grisáceo - Gris,,1,M Rosa Oscuro                            M Azul Grisáceo                    M Gris
611852,variable,,,BLUSA ANUDADA EN SEDA - L,1,1,visible,,,taxable,parent,1,2,2,1,0.30,Talla L: Busto 98 / Cintura 88,,,-,465000,Tékapo,,,blusa anudada en seda.tif                                                                                                    blusa anudada en seda2.jpeg                                          blusa anudada en seda3.jpeg,,Talla,L,Color,Rosa Oscuro - Azul Grisáceo - Gris,,1,L Rosa Oscuro                     L Azul Grisáceo                       L Gris
